record_id,crop_name,year,month,farm_location,region_type,area_size,actual_yield_tons,quantity_sold_kg,unit_price_jod,total_sales_jod
58528,radish,2023,January,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.10959999999999999,4746.593333333333
58529,radish,2023,February,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.202,8748.283333333335
58530,radish,2023,February,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.202,8748.283333333335
58531,radish,2023,February,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.151,6539.558333333333
58532,radish,2023,February,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.151,6539.558333333333
58533,radish,2023,March,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.2368,10255.413333333334
58534,radish,2023,March,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.2368,10255.413333333334
58535,radish,2023,March,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.1804,7812.823333333334
58536,radish,2023,March,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.1804,7812.823333333334
58537,radish,2023,April,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.2294,9934.931666666667
58538,radish,2023,April,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.2294,9934.931666666667
58539,radish,2023,April,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.1699,7358.0858333333335
58540,radish,2023,April,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.1699,7358.0858333333335
58541,radish,2023,May,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.132,5716.700000000001
58542,radish,2023,May,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.132,5716.700000000001
58543,radish,2023,May,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.08270000000000001,3581.5991666666673
58544,radish,2023,May,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.08270000000000001,3581.5991666666673
58545,radish,2023,June,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.10790000000000001,4672.969166666668
58546,radish,2023,June,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.10790000000000001,4672.969166666668
58547,radish,2023,June,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.0598,2589.8383333333336
58548,radish,2023,June,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.0598,2589.8383333333336
58549,radish,2023,July,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.16219999999999998,7024.611666666667
58550,radish,2023,July,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.16219999999999998,7024.611666666667
58551,radish,2023,July,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.1097,4750.924166666668
58552,radish,2023,July,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.1097,4750.924166666668
58553,radish,2023,August,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.2449,10606.210833333334
58554,radish,2023,August,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.2449,10606.210833333334
58555,radish,2023,August,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.1829,7921.094166666668
58556,radish,2023,August,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.1829,7921.094166666668
58557,radish,2023,September,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.1536,6652.16
58558,radish,2023,September,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.1536,6652.16
58559,radish,2023,September,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.103,4460.758333333333
58560,radish,2023,September,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.103,4460.758333333333
58561,radish,2023,October,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.1487,6439.949166666667
58562,radish,2023,October,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.1487,6439.949166666667
58563,radish,2023,October,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.097,4200.908333333334
58564,radish,2023,October,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.097,4200.908333333334
58565,radish,2023,November,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.1671,7236.8225
58566,radish,2023,November,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.1671,7236.8225
58567,radish,2023,November,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.115,4980.458333333334
58568,radish,2023,November,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.115,4980.458333333334
58569,radish,2023,December,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.2176,9423.893333333333
58570,radish,2023,December,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.2176,9423.893333333333
58571,radish,2023,December,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.1682,7284.461666666666
58572,radish,2023,December,barn south,al-aghouar,173.2,519.7,43308.333333333336,0.1682,7284.461666666666
58573,radish,2024,January,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.15919999999999998,5821.413333333333
58574,radish,2024,January,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.15919999999999998,5821.413333333333
58575,radish,2024,January,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.10959999999999999,4007.706666666667
58576,radish,2024,January,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.10959999999999999,4007.706666666667
58577,radish,2024,February,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.183,6691.700000000001
58578,radish,2024,February,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.183,6691.700000000001
58579,radish,2024,February,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.1308,4782.920000000001
58580,radish,2024,February,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.1308,4782.920000000001
58581,radish,2024,March,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.213,7788.700000000001
58582,radish,2024,March,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.213,7788.700000000001
58583,radish,2024,March,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.1598,5843.353333333334
58584,radish,2024,March,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.1598,5843.353333333334
58585,radish,2024,April,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.1616,5909.173333333334
58586,radish,2024,April,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.1616,5909.173333333334
58587,radish,2024,April,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.11270000000000001,4121.063333333334
58588,radish,2024,April,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.11270000000000001,4121.063333333334
58589,radish,2024,May,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.15569999999999998,5693.43
58590,radish,2024,May,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.15569999999999998,5693.43
58591,radish,2024,May,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.104,3802.933333333334
58592,radish,2024,May,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.104,3802.933333333334
58593,radish,2024,June,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.1564,5719.026666666668
58594,radish,2024,June,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.1564,5719.026666666668
58595,radish,2024,June,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.1034,3780.9933333333342
58596,radish,2024,June,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.1034,3780.9933333333342
58597,radish,2024,July,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.18009999999999998,6585.656666666667
58598,radish,2024,July,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.18009999999999998,6585.656666666667
58599,radish,2024,July,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.1248,4563.52
58600,radish,2024,July,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.1248,4563.52
58601,radish,2024,August,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.2514,9192.860000000002
58602,radish,2024,August,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.2514,9192.860000000002
58603,radish,2024,August,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.18930000000000002,6922.0700000000015
58604,radish,2024,August,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.18930000000000002,6922.0700000000015
58605,radish,2024,September,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.2012,7357.213333333334
58606,radish,2024,September,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.2012,7357.213333333334
58607,radish,2024,September,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.1438,5258.286666666668
58608,radish,2024,September,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.1438,5258.286666666668
58609,radish,2024,October,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.14980000000000002,5477.686666666668
58610,radish,2024,October,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.14980000000000002,5477.686666666668
58611,radish,2024,October,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.0983,3594.5033333333336
58612,radish,2024,October,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.0983,3594.5033333333336
58613,radish,2024,November,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.244,8922.266666666668
58614,radish,2024,November,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.244,8922.266666666668
58615,radish,2024,November,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.19090000000000001,6980.576666666668
58616,radish,2024,November,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.19090000000000001,6980.576666666668
58617,radish,2024,December,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.18880000000000002,6903.786666666669
58618,radish,2024,December,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.18880000000000002,6903.786666666669
58619,radish,2024,December,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.1397,5108.363333333334
58620,radish,2024,December,barn south,al-aghouar,146.3,438.8,36566.66666666667,0.1397,5108.363333333334
58621,radish,2020,January,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.1992,4408.96
58622,radish,2020,January,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.1992,4408.96
58623,radish,2020,January,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.15280000000000002,3381.9733333333343
58624,radish,2020,January,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.15280000000000002,3381.9733333333343
58625,radish,2020,February,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.2087,4619.226666666667
58626,radish,2020,February,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.2087,4619.226666666667
58627,radish,2020,February,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.1613,3570.106666666667
58628,radish,2020,February,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.1613,3570.106666666667
58629,radish,2020,March,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.2361,5225.68
58630,radish,2020,March,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.2361,5225.68
58631,radish,2020,March,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.1844,4081.386666666667
58632,radish,2020,March,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.1844,4081.386666666667
58633,radish,2020,April,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.2582,5714.826666666667
58634,radish,2020,April,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.2582,5714.826666666667
58635,radish,2020,April,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.2016,4462.080000000001
58636,radish,2020,April,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.2016,4462.080000000001
58637,radish,2020,May,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.268,5931.7333333333345
58638,radish,2020,May,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.268,5931.7333333333345
58639,radish,2020,May,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.209,4625.866666666667
58640,radish,2020,May,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.209,4625.866666666667
58641,radish,2020,June,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.22190000000000001,4911.386666666667
58642,radish,2020,June,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.22190000000000001,4911.386666666667
58643,radish,2020,June,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.16540000000000002,3660.8533333333344
58644,radish,2020,June,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.16540000000000002,3660.8533333333344
58645,radish,2020,July,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.208,4603.733333333334
58646,radish,2020,July,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.208,4603.733333333334
58647,radish,2020,July,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.1527,3379.76
58648,radish,2020,July,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.1527,3379.76
58649,radish,2020,August,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.2611,5779.013333333334
58650,radish,2020,August,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.2611,5779.013333333334
58651,radish,2020,August,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.2028,4488.64
58652,radish,2020,August,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.2028,4488.64
58653,radish,2020,September,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.24980000000000002,5528.906666666668
58654,radish,2020,September,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.24980000000000002,5528.906666666668
58655,radish,2020,September,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.19269999999999998,4265.093333333333
58656,radish,2020,September,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.19269999999999998,4265.093333333333
58657,radish,2020,October,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.2776,6144.213333333334
58658,radish,2020,October,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.2776,6144.213333333334
58659,radish,2020,October,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.2191,4849.413333333334
58660,radish,2020,October,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.2191,4849.413333333334
58661,radish,2020,November,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.3247,7186.693333333334
58662,radish,2020,November,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.3247,7186.693333333334
58663,radish,2020,November,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.2711,6000.346666666667
58664,radish,2020,November,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.2711,6000.346666666667
58665,radish,2020,December,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.24180000000000001,5351.840000000001
58666,radish,2020,December,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.24180000000000001,5351.840000000001
58667,radish,2020,December,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.1925,4260.666666666667
58668,radish,2020,December,deir alla,al-aghouar,88.5,265.6,22133.333333333336,0.1925,4260.666666666667
58669,radish,2021,January,deir alla,al-aghouar,165.3,644.8,53733.33333333333,0.1979,10633.826666666666
58670,radish,2021,January,deir alla,al-aghouar,165.3,644.8,53733.33333333333,0.1979,10633.826666666666
58671,radish,2021,January,deir alla,al-aghouar,165.3,644.8,53733.33333333333,0.1524,8188.96
58672,radish,2021,January,deir alla,al-aghouar,165.3,644.8,53733.33333333333,0.1524,8188.96
